user_id,event_datetime,product_id,sales_value,vat_rate,discount_rate
57177237-5258-41d2-89ed-7f71e502ca01,1/6/2020,2,806.85,0.2,0.05
deac83b1-6812-4b67-898c-9f71a4b654b8,1/6/2020,1,115.26,0.05,
0bacf5f8-631b-42f7-8994-bd36f2f6f852,1/6/2020,3,851.70,0.05,0.11
9a6c9ba3-5bef-469d-8242-c9f88ee3b044,1/6/2020,6,244.32,0.05,
0a0bb63e-7953-4960-b405-62d2506eea3f,1/6/2020,3,215.05,0.2,0.07
24a82e8c-97c9-44b8-8e08-54f1e47bae98,1/6/2020,4,231.06,0.05,
f5a586ba-d1ba-4197-9500-bd7e84b5994d,1/6/2020,6,459.27,0.05,
ca46d185-614f-47ac-bbb7-384659e14d95,1/6/2020,0,397.00,0.05,0.05
e4cd2bc9-35be-4bfe-b57c-4affc747ab61,1/6/2020,2,506.53,0.2,
a3a5f7bc-f29d-47ab-89b2-0e6af4e47913,1/6/2020,6,120.95,0.1,
281f1fc6-47a6-486e-947e-803e7ed296d3,1/6/2020,8,432.11,0.05,
01a86fcf-86ab-48b4-83a1-8f091956115b,1/6/2020,6,373.38,0.05,0.11
1b4e6e68-4d97-49c2-b289-01ba2a7d84f1,1/6/2020,8,615.96,0.05,
96e7487d-5732-418e-b85d-606e8b7dde97,1/6/2020,9,815.53,0.1,0.05
0bb91e97-275b-47aa-93d3-f21010911137,1/6/2020,5,840.82,0.1,
fd1c2487-1949-4dea-a9a5-61eb4a1728bd,1/6/2020,6,306.48,0.1,0.05
6543bf99-a05e-438b-a8ef-1b8754f743b8,1/6/2020,9,865.28,0.2,
c284c846-29ce-4215-baac-391e2d27f5f5,1/6/2020,9,939.54,0.05,0.11
1e2d37eb-c479-4bdc-a912-6821a0a0f991,1/6/2020,6,281.34,0.1,
5a8d2bf2-1ce1-4fed-843f-720417994137,1/6/2020,9,837.13,0.1,0.07
f266d676-0f3b-41f6-ad46-f592225af491,1/6/2020,6,610.12,0.2,
03302b2d-385c-4556-8eac-3c90b7a034bc,1/6/2020,5,338.39,0.1,0.07
cce8137e-1c64-4c28-9f17-130b8f83b43e,1/6/2020,3,160.10,0.1,
f4907ca6-8ba1-4a55-a770-2e9564c15d8f,1/6/2020,4,660.68,0.1,0.11
b6dbc879-55f4-4ee4-a9d2-4d8450f09d14,1/6/2020,9,377.86,0.05,0.11
25834e0e-928b-4616-ad71-b632d75e4f21,1/6/2020,7,272.93,0.1,0.07
800987fa-80aa-419a-8363-bc3aeba45de5,1/6/2020,9,388.81,0.2,0.07
b830cc77-e241-4ad1-876d-55380849c7cd,1/6/2020,4,375.02,0.1,
b0604c60-75b8-4ef4-8ce3-b4df856e6014,1/6/2020,4,515.67,0.2,0.07
4ad006bd-5de0-4cb2-b8da-d08f5dd291d6,1/6/2020,9,711.02,0.1,0.07
a325aecd-6d66-419a-9e9b-7500c0182cff,1/6/2020,4,258.13,0.05,
42684830-3bbe-49f0-a8d9-8ecca0655b96,1/6/2020,5,428.57,0.05,
ffd06248-21e9-4cfc-95ac-7eca502f1bee,1/6/2020,5,659.67,0.05,0.05
e082c732-0942-48c8-9426-d6012290f2ed,1/6/2020,0,933.08,0.1,0.11
99d26b5f-e0cb-4cf2-b306-5d83571a4d6b,1/6/2020,3,948.30,0.05,0.07
