user_id,event_datetime,product_id,modified_sales_value,vat_rate,discount_rate
39f70326-15ca-46ce-8cf9-0488c8ffa020,5.6.2020,0,235.35,0.2,0.1
039d98e4-a4cf-47e1-9f1a-df2de7f5d0c7,5.6.2020,7,380.53,,
266a3661-58e6-4d7c-b040-58609a4cb58a,5.6.2020,3,393.24,0.05,0.2
7a679637-5d3a-4e23-8a82-b09da62a0f7a,5.6.2020,9,552.48,0.2,0.05
8e4964af-d647-46da-b47d-81aadf670f1c,5.6.2020,3,358.86,0.05,0.1
342bed61-3974-4d51-812f-205a0872a854,5.6.2020,1,886.07,0.2,0.1
7c686bc5-6cfc-47b3-94bc-a792c9c54fd2,5.6.2020,1,352.90,0.1,0.2
a9fdc6bd-dd2e-44ce-8678-8a73c2738053,5.6.2020,2,275.81,0.1,0.1
c9488871-8884-462a-9e96-cd8e713c9844,5.6.2020,1,805.85,0.2,0.1
2f6b4536-ddfc-4cb2-9da5-13da5979a338,5.6.2020,8,490.06,0.05,0.2
5b33de28-4a2d-43db-9b8d-ae10b29557ea,5.6.2020,3,555.67,0.05,0.05
b173a5cf-dcb6-42e3-bb99-dd6f7f72da1c,5.6.2020,1,924.18,,
21b784cb-5a58-427b-9bee-4ba50077fdc4,5.6.2020,8,295.31,0.05,0.2
f21efafd-046b-49a9-bc46-247e269591f3,5.6.2020,9,461.65,,
58729269-b711-4f56-9638-c0e23663cd89,5.6.2020,7,215.93,0.05,0.1
c7cdc43d-52f5-432f-a95a-ca2de16b4bc8,5.6.2020,9,630.47,0.05,0.2
29afa002-9e42-4e83-8ff8-89e3ef97ff57,5.6.2020,6,625.72,0.05,0.2
5c25993a-9485-4e66-b281-088f3774d21b,5.6.2020,2,926.99,0.05,0.2
0e444725-d2d3-4b42-a4d2-d2749f1802fe,5.6.2020,6,570.68,0.2,0.1
4eac640f-362c-41d5-9045-8ae5c8798e08,5.6.2020,6,862.25,0.2,0.2
dc38d47a-01a5-4561-b758-fad27d4d0fd2,5.6.2020,9,755.90,0.2,0.2
42f53891-b376-4920-8464-f513a233febc,5.6.2020,2,462.50,0.05,0.2
69524a4e-7bb5-41d6-be49-8c4a204ebd3d,5.6.2020,8,781.87,0.1,0.2
7db8d876-6fa6-4581-b06f-11d54995143f,5.6.2020,6,239.66,0.2,0.2
fa694c1f-d942-4640-96a6-cf6bd97b9140,5.6.2020,3,336.75,0.05,0.05
b63d171d-c85d-4be8-93d5-c5bcafcb7c07,5.6.2020,4,847.98,0.1,0.1
08a5c21c-e67b-482a-8751-29b99415d669,5.6.2020,2,820.24,0.05,0.1
df2d5f27-d7f9-4dbe-b063-356550f3bcb2,5.6.2020,1,939.34,0.05,0.1
6e227682-aff5-433e-862d-a0dd958f4e15,5.6.2020,7,961.08,0.2,0.2
cf6c8ead-1ba2-4711-9b52-e0cf75b02416,5.6.2020,3,862.66,0.1,0.2
f3b096c4-3db1-4d4d-a1c4-beb359723e21,5.6.2020,7,267.49,,
4876b8a8-6323-427f-9d3a-0293426ac129,5.6.2020,1,878.82,,
9b4210c7-de94-4a75-a1f4-ddf651463ee7,5.6.2020,6,583.37,0.2,0.1
5fcf6b4e-242a-416a-945e-f667c3c3f631,5.6.2020,2,829.87,0.2,0.1
635455f6-55ef-4a69-8c64-92ca1770802a,5.6.2020,7,773.52,0.2,0.2
0cc0dd70-f3d1-45ad-87a5-59a77ea51187,5.6.2020,9,654.19,,
977f4ee1-2e35-4b37-ac8c-265236744f47,5.6.2020,9,393.69,0.1,0.2
10833342-4c27-41f6-b3fe-c34bd0ea8820,5.6.2020,1,952.26,0.1,0.05
fd0af2eb-de60-4ae6-88ac-d02308808c3b,5.6.2020,8,410.35,0.2,0.05
03251312-c2e3-42d8-bdb7-60db8c31dddf,5.6.2020,1,836.51,0.05,0.05
63dcf855-be30-4aeb-9138-bc16cb306824,5.6.2020,9,230.39,,
16ea5fc3-409a-4fcd-9edb-6be75aa58a55,5.6.2020,3,617.80,0.05,0.2
7606c14d-c1d8-455a-9b0b-0c53ab9f5c9e,5.6.2020,6,450.89,0.1,0.1
